Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2010-03-01,,3,,56,18,,,,,,,,,6.1
Bonneville,2010-03-02,,,,21,7,,,,,,,,,6.7
Bonneville,2010-03-03,,,,34,9,,,,,,,,,6.1
Bonneville,2010-03-04,,,,32,13,,,,,,,,,6.7
Bonneville,2010-03-05,,,,43,18,,,,,,,,,6.7
Bonneville,2010-03-06,,1,,17,2,,,,,,,,,6.7
Bonneville,2010-03-07,,,,38,6,,,,,,,,,6.7
Bonneville,2010-03-08,,1,,63,13,,,,,,,,,6.7
Bonneville,2010-03-09,,1,,55,16,,,,,,,,,6.7
Bonneville,2010-03-10,,2,,83,23,,,,,,,,,6.7
Bonneville,2010-03-11,,4,,88,27,,,,,,,,,6.7
Bonneville,2010-03-12,,6,,91,29,,,,,,,,,6.7
Bonneville,2010-03-13,,7,,98,25,,,,,,,,,6.7
Bonneville,2010-03-14,,9,,111,39,,,,,,,,,6.7
Bonneville,2010-03-15,Sp,7,2,142,30,,,,,,,,,6.7
Bonneville,2010-03-16,Sp,11,,87,31,,,,,,,,,7.2
Bonneville,2010-03-17,Sp,6,,107,42,,,,,,,,,7.1
Bonneville,2010-03-18,Sp,14,,72,18,,,,,,,,,7.1
Bonneville,2010-03-19,Sp,25,3,135,37,,,,,,,,,7.1
Bonneville,2010-03-20,Sp,11,,49,24,,,,,,,,,7.2
Bonneville,2010-03-21,Sp,9,,54,17,,,,,,,,,7.4
Bonneville,2010-03-22,Sp,22,1,100,21,,,,,,,,,7.5
Bonneville,2010-03-23,Sp,16,1,104,27,,,,,,,,,7.6
Bonneville,2010-03-24,Sp,24,1,96,24,,,,,,,,,7.8
Bonneville,2010-03-25,Sp,35,2,129,24,,,,,,,,,7.9
Bonneville,2010-03-26,Sp,32,,126,46,,,,,,,,,7.9
Bonneville,2010-03-27,Sp,23,,106,40,,,,,,,,,8
Bonneville,2010-03-28,Sp,26,1,75,26,,,,,,,,,8.1
Bonneville,2010-03-29,Sp,45,2,107,44,,,,,,,,,8
Bonneville,2010-03-30,Sp,74,1,99,22,,,,,,,,,7.9
Bonneville,2010-03-31,Sp,54,,111,30,,,,,,,,,7.8
Bonneville,2010-04-01,Sp,166,,100,31,,,,,,,,,8
Bonneville,2010-04-02,Sp,227,1,58,24,,,,,,,,,7.9
Bonneville,2010-04-03,Sp,159,1,48,18,,,,,,,,,7.7
Bonneville,2010-04-04,Sp,168,,58,19,,,,,,,,,7.7
Bonneville,2010-04-05,Sp,88,,58,17,,,,,,,,,7.8
Bonneville,2010-04-06,Sp,229,1,88,31,,,,,,,,,8.1
Bonneville,2010-04-07,Sp,338,1,68,27,,,,,,,,,8.2
Bonneville,2010-04-08,Sp,687,2,113,29,,,,,,,,,8.4
Bonneville,2010-04-09,Sp,1068,1,91,27,,,,,,,,,8.4
Bonneville,2010-04-10,Sp,3546,7,135,43,,,,,,,,,8.5
Bonneville,2010-04-11,Sp,1136,1,105,40,,,,,,,,,8.7
Bonneville,2010-04-12,Sp,1470,2,88,30,,,,,,,,,9
Bonneville,2010-04-13,Sp,1839,4,43,16,,,,,,,,,9.1
Bonneville,2010-04-14,Sp,3794,12,69,24,,,,,,,,,9.2
Bonneville,2010-04-15,Sp,7719,30,130,51,,,,,,,,,9.5
Bonneville,2010-04-16,Sp,6528,38,122,51,,,,,,,,,9.8
Bonneville,2010-04-17,Sp,7833,34,138,28,1,,,,,,,,10
Bonneville,2010-04-18,Sp,2492,18,110,49,,,,,,,,,10.1
Bonneville,2010-04-19,Sp,7762,52,97,10,,,,,,,,,10.3
