Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2015-03-01,,3,,68,30,,,,,,,,,5.6
Bonneville,2015-03-02,,10,,59,31,,,,,,,,,5.6
Bonneville,2015-03-03,,19,,32,19,,,,,,,,,5.6
Bonneville,2015-03-04,,10,,35,15,,,,,,,,,5.6
Bonneville,2015-03-05,,14,,23,13,,,,,,,,,5.6
Bonneville,2015-03-06,,9,,30,24,,,,,,,,,5.6
Bonneville,2015-03-07,,11,1,8,6,,,,,,,,,5.6
Bonneville,2015-03-08,,5,,21,14,,,,,,,,,5.6
Bonneville,2015-03-09,,13,1,56,26,,,,,,,,,5.6
Bonneville,2015-03-10,,35,,52,31,,,,,,,,,5.6
Bonneville,2015-03-11,,32,,27,14,,,,,,,,,6.1
Bonneville,2015-03-12,,33,,64,35,,,,,,,,,6.1
Bonneville,2015-03-13,,13,,56,36,,,,,,,,,6.7
Bonneville,2015-03-14,,14,,49,26,,,,,,,,,6.7
Bonneville,2015-03-15,Sp,17,,149,88,,,,,,,,,6.7
Bonneville,2015-03-16,Sp,38,,140,80,,,,,,,,,6.7
Bonneville,2015-03-17,Sp,8,,88,47,,,,,,,,,7.2
Bonneville,2015-03-18,Sp,36,,71,47,,,,,,,,,7.5
Bonneville,2015-03-19,Sp,37,1,67,38,,,,,,,,,7.6
Bonneville,2015-03-20,Sp,48,,51,22,,,,,,,,,7.7
Bonneville,2015-03-21,Sp,58,,98,58,,,,,,,,,7.9
Bonneville,2015-03-22,Sp,30,,54,33,,,,,,,,,8.1
Bonneville,2015-03-23,Sp,34,,58,29,,,,,,,,,8.2
Bonneville,2015-03-24,Sp,56,,72,39,,,,,,,,,8.3
Bonneville,2015-03-25,Sp,50,,55,31,,,,,,,,,8.4
Bonneville,2015-03-26,Sp,73,,70,38,,,,,,,,,8.6
Bonneville,2015-03-27,Sp,100,,50,25,,,,,,,,,8.8
Bonneville,2015-03-28,Sp,185,,63,37,,,,,,,,,9
Bonneville,2015-03-29,Sp,259,1,40,26,,,,,,,,,9
Bonneville,2015-03-30,Sp,155,,48,35,,,,,,,,,9.1
Bonneville,2015-03-31,Sp,270,,26,18,,,,,,,,,9.1
Bonneville,2015-04-01,Sp,270,,58,29,,,,,,,,,9.1
Bonneville,2015-04-02,Sp,291,,45,29,,,,,,,,,9.1
Bonneville,2015-04-03,Sp,265,,26,19,,,,,,,,,8.9
Bonneville,2015-04-04,Sp,178,1,28,13,,,,,,,,,9
Bonneville,2015-04-05,Sp,165,,15,14,,,,,,,,,9.2
Bonneville,2015-04-06,Sp,112,1,22,9,,,,,,,,,9.3
Bonneville,2015-04-07,Sp,387,1,25,15,,,,,,,,,9.5
Bonneville,2015-04-08,Sp,523,4,25,21,,,,,,,,,9.6
Bonneville,2015-04-09,Sp,836,,59,35,,,,,,,,,9.8
Bonneville,2015-04-10,Sp,1238,,28,20,,,,,,,,,9.9
Bonneville,2015-04-11,Sp,1269,2,26,12,,,,,,,,,9.8
Bonneville,2015-04-12,Sp,2028,6,26,15,,,,,,,,,9.8
Bonneville,2015-04-13,Sp,796,3,19,15,,,,,,,,,9.8
Bonneville,2015-04-14,Sp,587,1,16,15,,,,,,,,,9.7
Bonneville,2015-04-15,Sp,2972,16,47,27,,,,,,,,,9.7
Bonneville,2015-04-16,Sp,2952,12,30,16,,,,,,,,,9.8
Bonneville,2015-04-17,Sp,5417,23,38,21,,,,,,,,,10
Bonneville,2015-04-18,Sp,7926,61,37,15,,,,,,,,,10.3
Bonneville,2015-04-19,Sp,11327,68,44,29,,,,,,,,,10.6
Bonneville,2015-04-20,Sp,13190,113,33,15,,,,,,,,,10.9
Bonneville,2015-04-21,Sp,5987,52,27,8,,,,,,,,,10.8
Bonneville,2015-04-22,Sp,7976,58,23,5,,,,,,,,,11
Bonneville,2015-04-23,Sp,4565,39,18,11,,,,,,,,,10.8
Bonneville,2015-04-24,Sp,4462,44,26,14,,,,,,,,,10.7
Bonneville,2015-04-25,Sp,4581,47,19,11,,,,,,,,,10.7
