Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2016-03-01,,,,58,20,,,,,,,,,
Bonneville,2016-03-02,,2,,64,15,,,,,,,,,
Bonneville,2016-03-03,,1,,86,46,,,,,,,,,
Bonneville,2016-03-04,,4,,67,28,,,,,,,,,
Bonneville,2016-03-05,,3,,54,28,,,,,,,,,
Bonneville,2016-03-06,,1,,62,26,,,,,,,,,
Bonneville,2016-03-07,,5,,77,29,,,,,,,,,
Bonneville,2016-03-08,,2,,30,17,,,,,,,,,
Bonneville,2016-03-09,,2,,36,13,,,,,,,,,
Bonneville,2016-03-10,,2,,56,21,,,,,,,,,
Bonneville,2016-03-11,,2,,49,18,,,,,,,,,
Bonneville,2016-03-12,,2,,39,18,,,,,,,,,6.1
Bonneville,2016-03-13,,1,1,35,19,,,,,,,,,6.1
Bonneville,2016-03-14,,1,,91,51,,,,,,,,,
Bonneville,2016-03-15,Sp,1,,22,12,,,,,,,,,6.8
Bonneville,2016-03-16,Sp,8,,49,27,,,,,,,,,7
Bonneville,2016-03-17,Sp,6,,44,24,,,,,,,,,7.1
Bonneville,2016-03-18,Sp,1,,52,26,,,,,,,,,7.1
Bonneville,2016-03-19,Sp,5,,41,17,,,,,,,,,7.1
Bonneville,2016-03-20,Sp,7,1,45,25,,,,,,,,,7.2
Bonneville,2016-03-21,Sp,4,,29,18,,,,,,,,,7.1
Bonneville,2016-03-22,Sp,2,,34,20,,,,,,,,,7.2
Bonneville,2016-03-23,Sp,4,,30,14,,,,,,,,,7.2
Bonneville,2016-03-24,Sp,6,1,71,34,,,,,,,,,7.3
Bonneville,2016-03-25,Sp,12,1,60,29,,,,,,,,,7.4
Bonneville,2016-03-26,Sp,13,,51,23,,,,,,,,,7.6
Bonneville,2016-03-27,Sp,12,,56,27,,,,,,,,,7.8
Bonneville,2016-03-28,Sp,27,,49,28,,,,,,,,,7.8
Bonneville,2016-03-29,Sp,19,,35,14,,,,,,,,,8
Bonneville,2016-03-30,Sp,24,,47,21,,,,,,,,,8.2
Bonneville,2016-03-31,Sp,47,,50,22,,,,,,,,,8.7
Bonneville,2016-04-01,Sp,54,1,50,20,,,,,,,,,8.8
Bonneville,2016-04-02,Sp,75,,54,16,,,,,,,,,9
Bonneville,2016-04-03,Sp,90,2,54,17,,,,,,,,,9.2
