Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2014-03-01,,,,19,12,,,,,,,,,3.3
Bonneville,2014-03-02,,,,8,3,,,,,,,,,2.8
Bonneville,2014-03-03,,,,26,16,,,,,,,,,3.3
Bonneville,2014-03-04,,,,51,24,,,,,,,,,3.3
Bonneville,2014-03-05,,,,66,24,,,,,,,,,3.9
Bonneville,2014-03-06,,,,139,68,,,,,,,,,3.9
Bonneville,2014-03-07,,,,90,24,,,,,,,,,3.9
Bonneville,2014-03-08,,1,,36,15,,,,,,,,,5
Bonneville,2014-03-09,,,,56,12,,,,,,,,,5
Bonneville,2014-03-10,,,,34,7,,,,,,,,,5
Bonneville,2014-03-11,,,,56,19,,,,,,,,,4.4
Bonneville,2014-03-12,,,,60,22,,,,,,,,,5
Bonneville,2014-03-13,,,,49,22,,,,,,,,,5.1
Bonneville,2014-03-14,,,,61,8,,,,,,,,,5.4
Bonneville,2014-03-15,Sp,1,,55,13,,,,,,,,,5.8
Bonneville,2014-03-16,Sp,2,,101,23,,,,,,,,,6.3
Bonneville,2014-03-17,Sp,2,,81,10,,,,,,,,,6.6
Bonneville,2014-03-18,Sp,,,107,24,,,,,,,,,6.6
Bonneville,2014-03-19,Sp,5,,66,12,,,,,,,,,6.7
Bonneville,2014-03-20,Sp,3,,74,2,,,,,,,,,6.7
Bonneville,2014-03-21,Sp,8,,132,30,,,,,,,,,6.8
Bonneville,2014-03-22,Sp,11,,95,14,,,,,,,,,6.8
Bonneville,2014-03-23,Sp,20,,94,26,,,,,,,,,6.8
Bonneville,2014-03-24,Sp,27,1,81,28,,,,,,,,,6.9
Bonneville,2014-03-25,Sp,43,,77,29,,,,,,,,,7.1
Bonneville,2014-03-26,Sp,47,1,73,22,,,,,,,,,7.2
Bonneville,2014-03-27,Sp,85,2,89,32,,,,,,,,,7.2
Bonneville,2014-03-28,Sp,89,1,93,33,,,,,,,,,7.1
Bonneville,2014-03-29,Sp,65,1,58,13,,,,,,,,,7
Bonneville,2014-03-30,Sp,30,1,53,22,,,,,,,,,6.9
Bonneville,2014-03-31,Sp,92,1,40,9,,,,,,,,,7
Bonneville,2014-04-01,Sp,19,,26,12,,,,,,,,,7
Bonneville,2014-04-02,Sp,66,,32,8,,,,,,,,,6.9
Bonneville,2014-04-03,Sp,157,1,46,9,,,,,,,,,7.2
Bonneville,2014-04-04,Sp,141,1,37,11,,,,,,,,,7.2
Bonneville,2014-04-05,Sp,157,2,44,12,,,,,,,,,7.5
Bonneville,2014-04-06,Sp,212,1,44,13,,,,,1,,,,7.7
Bonneville,2014-04-07,Sp,187,1,48,24,1,,,,,,,,7.8
Bonneville,2014-04-08,Sp,243,1,59,20,,,,,,,,,8.2
Bonneville,2014-04-09,Sp,346,1,61,14,,,,,,,,,8.6
Bonneville,2014-04-10,Sp,413,1,46,9,,,,,,,,,8.7
Bonneville,2014-04-11,Sp,445,,43,13,,,,,,,,,8.8
Bonneville,2014-04-12,Sp,787,3,44,20,,,,,,,,,9
Bonneville,2014-04-13,Sp,895,6,57,20,,,,,,,,,9.3
Bonneville,2014-04-14,Sp,1368,5,52,18,,,,,,,,,9.4
Bonneville,2014-04-15,Sp,1756,5,44,10,,,,,,,,,9.5
Bonneville,2014-04-16,Sp,1509,4,34,8,,,,,,,,,9.7
Bonneville,2014-04-17,Sp,1384,8,38,13,,,,,,,,,9.7
Bonneville,2014-04-18,Sp,2256,9,46,12,,,,,,,,,9.9
Bonneville,2014-04-19,Sp,1350,5,42,11,,,,,,,,,10
Bonneville,2014-04-20,Sp,2264,10,28,-2,,,,,,,,,9.9
Bonneville,2014-04-21,Sp,2866,18,45,15,,,,,,,,,9.9
Bonneville,2014-04-22,Sp,3701,27,26,5,,,,,,,,,10
Bonneville,2014-04-23,Sp,2512,30,26,13,,,,,,,,,10
Bonneville,2014-04-24,Sp,4057,47,36,4,,,,,,,,,9.9
Bonneville,2014-04-25,Sp,4355,54,53,8,,,,,,,,,9.9
Bonneville,2014-04-26,Sp,7176,76,41,8,,,,,1,,,,10
Bonneville,2014-04-27,Sp,3906,54,32,9,,,,,,,,,10
Bonneville,2014-04-28,Sp,7709,128,48,5,,,,,,,,,9.8
Bonneville,2014-04-29,Sp,8481,186,53,7,,,,,,,,,10.2
Bonneville,2014-04-30,Sp,17409,519,43,10,1,,,,,,,,10.4
Bonneville,2014-05-01,Sp,14011,662,37,8,,,,,,,,,10.6
Bonneville,2014-05-02,Sp,9846,669,45,12,,,,1,,,,,10.8
Bonneville,2014-05-03,Sp,4520,314,30,6,1,,,3,,,,,11
Bonneville,2014-05-04,Sp,5775,535,35,6,,,,,,,,,11
Bonneville,2014-05-05,Sp,6944,1032,38,8,,,,6,,,,,11.1
Bonneville,2014-05-06,Sp,5201,922,40,4,4,,,4,,,,,11.4
Bonneville,2014-05-07,Sp,5309,1374,70,8,,,,13,1,,,,11.7
Bonneville,2014-05-08,Sp,4259,1258,50,4,,,,19,,,,,12
Bonneville,2014-05-09,Sp,4537,1500,30,-2,,,,25,,,,,12
Bonneville,2014-05-10,Sp,3042,992,47,5,,,,11,,,,,12
Bonneville,2014-05-11,Sp,3866,1790,34,1,,,,123,,,,,12.2
Bonneville,2014-05-12,Sp,3563,1529,40,2,,,,1215,,,,,12.4
Bonneville,2014-05-13,Sp,2104,1018,46,11,,,,1395,4,,,,12.6
Bonneville,2014-05-14,Sp,1995,1028,67,12,,,,2640,2,,,,12.7
