Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2008-03-01,,,,33,15,,,,,,,,,5.2
Bonneville,2008-03-02,,,,19,10,,,,,,,,,5.2
Bonneville,2008-03-03,,1,,7,5,,,,,,,,,5.2
Bonneville,2008-03-04,,1,,14,5,,,,,,,,,5.2
Bonneville,2008-03-05,,,,17,8,,,,,,,,,5.2
Bonneville,2008-03-06,,1,,29,13,,,,,,,,,5.2
Bonneville,2008-03-07,,1,,12,9,,,,,,,,,5.2
Bonneville,2008-03-08,,3,,18,8,,,,,,,,,5.3
Bonneville,2008-03-09,,6,,13,5,,,,,,,,,5.5
Bonneville,2008-03-10,,4,,55,27,,,,,,,,,5.7
Bonneville,2008-03-11,,1,,13,3,,,,,,,,,5.9
Bonneville,2008-03-12,,10,,41,16,,,,,,,,,6
Bonneville,2008-03-13,,5,,19,13,,,,,,,,,6
Bonneville,2008-03-14,,6,,39,15,,,,,,,,,6
Bonneville,2008-03-15,Sp,4,,27,12,,,,,,,,,6
Bonneville,2008-03-16,Sp,6,,21,8,,,,,,,,,6.1
Bonneville,2008-03-17,Sp,5,,19,8,,,,,,,,,6.2
Bonneville,2008-03-18,Sp,11,,40,24,,,,,,,,,6.4
Bonneville,2008-03-19,Sp,7,,34,18,,,,,,,,,6.5
Bonneville,2008-03-20,Sp,3,,22,8,,,,,,,,,6.5
Bonneville,2008-03-21,Sp,5,,19,9,,,,,,,,,6.5
Bonneville,2008-03-22,Sp,2,,19,7,,,,,,,,,6.4
Bonneville,2008-03-23,Sp,12,,22,12,,,,,,,,,6.5
Bonneville,2008-03-24,Sp,2,,6,,,,,,,,,,6.5
Bonneville,2008-03-25,Sp,10,,29,11,,,,,,,,,6.7
Bonneville,2008-03-26,Sp,3,,38,15,,,,,,,,,6.8
Bonneville,2008-03-27,Sp,4,,48,11,,,,,,,,,6.7
Bonneville,2008-03-28,Sp,12,,26,14,,,,,,,,,6.7
Bonneville,2008-03-29,Sp,4,,13,7,,,,,,,,,6.5
Bonneville,2008-03-30,Sp,20,,45,20,,,,,,,,,6.4
Bonneville,2008-03-31,Sp,21,,23,7,,,,,,,,,6.6
Bonneville,2008-04-01,Sp,26,,52,24,,,,,,,,,6.7
Bonneville,2008-04-02,Sp,42,,47,24,,,,,,,,,6.9
Bonneville,2008-04-03,Sp,62,,53,14,,,,,,,,,7
Bonneville,2008-04-04,Sp,87,,44,16,,,,,,,,,7.1
Bonneville,2008-04-05,Sp,71,,43,19,,,,,,,,,7
Bonneville,2008-04-06,Sp,91,,78,30,,,,,,,,,7.1
Bonneville,2008-04-07,Sp,111,,61,13,,,,,,,,,7.2
Bonneville,2008-04-08,Sp,109,2,68,32,,,,,,,,,7.2
Bonneville,2008-04-09,Sp,180,,61,15,,,,,,,,,7.3
Bonneville,2008-04-10,Sp,509,,51,16,,,,,,,,,7.4
Bonneville,2008-04-11,Sp,1373,3,58,23,,,,,,,,,7.5
Bonneville,2008-04-12,Sp,1475,4,61,22,,,,,,,,,7.8
Bonneville,2008-04-13,Sp,1293,1,63,26,,,,,,,,,8.1
Bonneville,2008-04-14,Sp,1286,1,72,23,,,,,,,,,8.2
Bonneville,2008-04-15,Sp,954,1,32,8,,,,,,,,,8.1
Bonneville,2008-04-16,Sp,750,1,36,19,,,,,,,,,8.2
Bonneville,2008-04-17,Sp,407,1,34,8,,,,,,,,,8.3
Bonneville,2008-04-18,Sp,449,4,32,12,,,,,,,,,8.5
Bonneville,2008-04-19,Sp,1612,5,20,5,,,,,,,,,8.5
Bonneville,2008-04-20,Sp,2618,5,32,6,,,,,,,,,8.6
Bonneville,2008-04-21,Sp,2708,8,53,12,,,,,,,,,8.7
Bonneville,2008-04-22,Sp,1582,13,41,17,,,,,,,,,8.7
Bonneville,2008-04-23,Sp,934,11,34,12,,,,,,,,,8.7
Bonneville,2008-04-24,Sp,572,1,29,6,,,,,,,,,8.8
Bonneville,2008-04-25,Sp,1570,11,43,15,,,,,,,,,9.1
Bonneville,2008-04-26,Sp,1514,19,44,16,,,,,,,,,9.4
Bonneville,2008-04-27,Sp,3523,49,48,11,,,,,,,,,9.5
Bonneville,2008-04-28,Sp,3643,52,46,10,,,,,,,,,9.7
Bonneville,2008-04-29,Sp,3994,50,42,13,,,,,,,,,9.9
Bonneville,2008-04-30,Sp,6645,115,49,17,,,,,,,,,10
Bonneville,2008-05-01,Sp,2935,66,41,7,,,,,,,,,10.1
Bonneville,2008-05-02,Sp,2027,104,49,10,,,,,,,,,10.2
Bonneville,2008-05-03,Sp,6340,236,50,10,,,,,,,,,10.4
Bonneville,2008-05-04,Sp,9686,409,35,4,,,,,,,,,10.6
Bonneville,2008-05-05,Sp,4134,375,54,11,,,,1,,,,,10.9
Bonneville,2008-05-06,Sp,2843,291,27,2,,,,7,,,,,11.1
Bonneville,2008-05-07,Sp,4099,543,37,6,,,,6,,,,,10.9
Bonneville,2008-05-08,Sp,1841,238,37,10,,,,,,,,,10.8
Bonneville,2008-05-09,Sp,3078,574,73,8,,,,17,,,,,11
Bonneville,2008-05-10,Sp,2129,439,38,6,,,,7,,,,,11.3
Bonneville,2008-05-11,Sp,2550,511,24,1,,,,11,2,,,,11.4
Bonneville,2008-05-12,Sp,4613,1171,43,8,,,,16,,,,,11.4
Bonneville,2008-05-13,Sp,3627,1208,39,5,,,,68,,,,,11.4
Bonneville,2008-05-14,Sp,5596,2035,36,3,,,,350,,,,,11.8
Bonneville,2008-05-15,Sp,5349,2009,38,10,,,,1982,,,,,12.3
Bonneville,2008-05-16,Sp,3931,1288,48,3,1,,,4269,4,,,,12.7
Bonneville,2008-05-17,Sp,2023,727,31,2,,,,2200,2,,,,12.8
Bonneville,2008-05-18,Sp,2839,1090,38,3,,,,2843,1,,,,13.1
Bonneville,2008-05-19,Sp,1961,461,98,14,,,,2478,36,,,,13.2
Bonneville,2008-05-20,Sp,1368,349,100,21,,,,1153,32,,,,13.3
Bonneville,2008-05-21,Sp,690,184,88,12,,,,630,13,,,,13.3
Bonneville,2008-05-22,Sp,529,162,80,11,2,,,284,20,,,,13.2
Bonneville,2008-05-23,Sp,636,283,85,9,,,,662,38,,,,13.1
Bonneville,2008-05-24,Sp,1072,385,87,13,,,,3966,10,,,,12.9
Bonneville,2008-05-25,Sp,1495,475,80,11,2,,,10863,12,,,,12.9
Bonneville,2008-05-26,Sp,1320,298,91,15,,,,7916,6,,,,13
Bonneville,2008-05-27,Sp,1588,312,98,17,,,,6257,53,,,,13.3
Bonneville,2008-05-28,Sp,1161,275,80,9,2,,,9081,42,,,,13.4
Bonneville,2008-05-29,Sp,1174,271,91,8,7,,,5439,78,,,,13.2
Bonneville,2008-05-30,Sp,1373,211,99,12,15,,,2670,33,,,,13.1
Bonneville,2008-05-31,Sp,1215,217,81,7,24,,,3837,62,,,,13.2
