Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2019-03-01,,,,9,7,,,,,,,,,
Bonneville,2019-03-02,,,,3,3,,,,,-1,,,,
Bonneville,2019-03-03,,,,5,4,,,,,,,,,
Bonneville,2019-03-04,,,,-1,-1,,,,,,,,,
Bonneville,2019-03-05,,,,3,3,,,,,,,,,
Bonneville,2019-03-06,,,,1,1,,,,,,,,,
Bonneville,2019-03-07,,,,1,1,,,,,,,,,
Bonneville,2019-03-08,,,,1,,,,,,,,,,
Bonneville,2019-03-09,,,,7,4,,,,,,,,,
Bonneville,2019-03-10,,,,6,2,,,,,-1,,,,
Bonneville,2019-03-11,,1,,5,1,,,,,,,,,
Bonneville,2019-03-12,,,,2,2,,,,,,,,,
Bonneville,2019-03-13,,,,5,2,,,,,,,,,
Bonneville,2019-03-14,,,,21,14,,,,,,,,,
Bonneville,2019-03-15,Sp,,,4,1,,,,,,,,,3.3
Bonneville,2019-03-16,Sp,2,,20,8,,,,,,,,,3.5
Bonneville,2019-03-17,Sp,1,,21,10,,,,,,,,,3.8
Bonneville,2019-03-18,Sp,,,11,2,,,,,,,,,4
Bonneville,2019-03-19,Sp,2,,48,22,,,,,-1,,,,4.2
Bonneville,2019-03-20,Sp,,,49,23,,,,,,,,,4.4
Bonneville,2019-03-21,Sp,3,,45,23,,,,,,,,,4.6
Bonneville,2019-03-22,Sp,1,,69,41,,,,,,,,,4.8
Bonneville,2019-03-23,Sp,2,,192,108,,,,,,,,,5.1
Bonneville,2019-03-24,Sp,,,145,68,,,,,,,,,5.5
Bonneville,2019-03-25,Sp,4,,49,28,,,,,,,,,5.7
Bonneville,2019-03-26,Sp,1,,50,28,,,,,,,,,5.8
Bonneville,2019-03-27,Sp,1,,27,17,,,,,,,,,5.9
Bonneville,2019-03-28,Sp,4,,47,29,,,,,,,,,6.1
Bonneville,2019-03-29,Sp,8,,40,21,,,,,,,,,6.4
Bonneville,2019-03-30,Sp,2,,46,33,,,,,,,,,6.7
Bonneville,2019-03-31,Sp,12,,40,21,,,,,,,,,7.1
