Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Willamette Falls,3/1/2013,,,,48,,,,,,,,,,7.2
Willamette Falls,3/2/2013,,,,153,,,,,,,,,,
Willamette Falls,3/3/2013,,,,152,,,,,,,,,,
Willamette Falls,3/4/2013,,,,93,,,,,,,,,,7.2
Willamette Falls,3/5/2013,,1,,48,,,,,,,,,,7.8
Willamette Falls,3/6/2013,,1,,22,,,,,,,,,,7.8
Willamette Falls,3/7/2013,,1,,11,,,,,,,,,,6.7
Willamette Falls,3/8/2013,,,,14,,,,,,,,,,6.7
Willamette Falls,3/9/2013,,,,22,,,,,,,,,,
Willamette Falls,3/10/2013,,,,28,,,,,,,,,,
Willamette Falls,3/11/2013,,,,94,,,,,,,,,,8.3
Willamette Falls,3/12/2013,,,,74,,,,,,,,,,8.3
Willamette Falls,3/13/2013,,1,,58,,,,,,,,,,8.9
Willamette Falls,3/14/2013,,,,99,,,,,,,,,,8.9
Willamette Falls,3/15/2013,,1,,244,,,,,,,,,,
Willamette Falls,3/16/2013,,1,,214,,,,,,,,,,
Willamette Falls,3/17/2013,,1,,299,,,,,,,,,,
Willamette Falls,3/18/2013,,1,,97,,,,,,,,,,10
Willamette Falls,3/19/2013,,3,,73,,,,,,,,,,10
Willamette Falls,3/20/2013,,,,53,,,,,,,,,,8.9
Willamette Falls,3/21/2013,,1,,106,,,,,,,,,,8.9
Willamette Falls,3/22/2013,,,,82,,,,,,,,,,8.9
Willamette Falls,3/23/2013,,,,80,,,,,,,,,,
Willamette Falls,3/24/2013,,1,,59,,,,,,,,,,
Willamette Falls,3/25/2013,,1,,59,,,,,,,,,,7.8
Willamette Falls,3/26/2013,,1,,50,,,,,,,,,,8.9
Willamette Falls,3/27/2013,,1,,58,,,,,,,,,,8.9
Willamette Falls,3/28/2013,,2,,82,,,,,,,,,,
Willamette Falls,3/29/2013,,2,,172,,,,,,,,,,
Willamette Falls,3/30/2013,,11,,215,,,,,,,,,,
Willamette Falls,3/31/2013,,14,,169,,,,,,,,,,
Willamette Falls,4/1/2013,,42,,258,,,,,,,,,,13.3
Willamette Falls,4/2/2013,,21,,122,,,,,,,,,,13.3
Willamette Falls,4/3/2013,,76,,147,,,,,,,,,,14.4
Willamette Falls,4/4/2013,,128,1,106,,,,,,,,,,14.4
Willamette Falls,4/5/2013,,83,,133,,,,,,,,,,13.3
Willamette Falls,4/6/2013,,74,1,124,,,,,,,,,,
Willamette Falls,4/7/2013,,20,,129,,,,,,,,,,
Willamette Falls,4/8/2013,,10,,37,,,,,,,,,,10
Willamette Falls,4/9/2013,,1,,50,,,,,,,,,,10
Willamette Falls,4/10/2013,,4,,35,,,,,,,,,,9.4
Willamette Falls,4/11/2013,,4,,88,,,,,,,,,,9.4
Willamette Falls,4/12/2013,,7,,58,,,,,,,,,,9.4
Willamette Falls,4/13/2013,,4,,42,,,,,,,,,,
Willamette Falls,4/14/2013,,15,,45,,,,,,,,,,
Willamette Falls,4/15/2013,,15,,39,,,,,,,,,,10
Willamette Falls,4/16/2013,,24,,43,,,,,,,,,,10
Willamette Falls,4/17/2013,,48,3,101,,,,,,,,,,10
Willamette Falls,4/18/2013,,77,1,78,,,,,,,,,,10.6
Willamette Falls,4/19/2013,,102,,36,,,,,,,,,,
Willamette Falls,4/20/2013,,297,9,135,,,,,,,,,,
Willamette Falls,4/21/2013,,338,16,109,,,,,,,,,,
Willamette Falls,4/22/2013,,457,29,111,,,,,,,,,,11.7
Willamette Falls,4/23/2013,,223,4,89,,,,,,,,,,12.2
Willamette Falls,4/24/2013,,495,18,102,,,,,,,,,,12.2
Willamette Falls,4/25/2013,,991,37,147,,,,,,,,,,12.8
Willamette Falls,4/26/2013,,1032,23,102,,,,,,,,,,13.9
Willamette Falls,4/27/2013,,628,23,87,,,,,,,,,,
Willamette Falls,4/28/2013,,908,35,96,,,,,,,,,,
Willamette Falls,4/29/2013,,1034,49,118,,,,,,,,,,15
Willamette Falls,4/30/2013,,501,26,94,,,,,,,,,,15.6
Willamette Falls,5/1/2013,,324,12,59,,,,,,,,,,15
Willamette Falls,5/2/2013,,311,16,67,,,,,,,,,,14.4
Willamette Falls,5/3/2013,,451,14,73,,,,,,,,,,14.4
Willamette Falls,5/4/2013,,385,15,64,,,,,,,,,,
Willamette Falls,5/5/2013,,791,25,96,,,,,,,,,,
Willamette Falls,5/6/2013,,885,37,110,,,,,,,,,,15.6
Willamette Falls,5/7/2013,,701,26,116,,,,,,,,,,16.7
Willamette Falls,5/8/2013,,601,30,103,,,,,,,,,,17.2
Willamette Falls,5/9/2013,,508,21,83,,,,,,,,,,17.2
Willamette Falls,5/10/2013,,397,23,99,,,,,,,,,,17.2
Willamette Falls,5/11/2013,,587,24,68,,,,,,,,,,
Willamette Falls,5/12/2013,,513,24,74,,,,,,,,,,
Willamette Falls,5/13/2013,,354,17,102,,,,,,,,,,17.8
Willamette Falls,5/14/2013,,342,29,144,,,,,,,,,,17.8
Willamette Falls,5/15/2013,,269,20,143,,,,,,,,,,17.8
Willamette Falls,5/16/2013,,206,13,116,,,,,,,,,,16.7
Willamette Falls,5/17/2013,,141,5,92,,,,,,,,,,16.7
Willamette Falls,5/18/2013,,62,1,94,,,,,,,,,,
Willamette Falls,5/19/2013,,65,5,74,,,,,,,,,,
Willamette Falls,5/20/2013,,55,5,77,,,,,,,,,,15
Willamette Falls,5/21/2013,,105,9,106,,,,,,,,,,15
Willamette Falls,5/22/2013,,81,5,122,,,,,,,,,,15
Willamette Falls,5/23/2013,,44,1,126,,,,,,,,,,14.4
Willamette Falls,5/24/2013,,27,1,150,,,,,,,,,,
Willamette Falls,5/25/2013,,68,14,204,,,,,,,,,,
