Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2011-03-01,,,,7,4,,,,,,,,,3.3
Bonneville,2011-03-02,,2,,14,6,,,,,,,,,3.3
Bonneville,2011-03-03,,1,,6,4,,,,,,,,,3.3
Bonneville,2011-03-04,,,,9,8,,,,,,,,,3.3
Bonneville,2011-03-05,,2,,18,5,,,,,,,,,2.8
Bonneville,2011-03-06,,3,,15,10,,,,,,,,,2.8
Bonneville,2011-03-07,,7,,11,6,,,,,,,,,2.8
Bonneville,2011-03-08,,1,,7,,,,,,,,,,2.8
Bonneville,2011-03-09,,2,,15,3,,,,,,,,,3.3
Bonneville,2011-03-10,,5,,80,34,,,,,,,,,3.9
Bonneville,2011-03-11,,4,,69,25,,,,,,,,,3.9
Bonneville,2011-03-12,,5,,33,15,,,,,,,,,3.9
Bonneville,2011-03-13,,1,1,17,10,,,,,,,,,4.4
Bonneville,2011-03-14,,2,1,49,20,,,,,,,,,5
Bonneville,2011-03-15,Sp,1,,55,26,,,,,,,,,5
Bonneville,2011-03-16,Sp,9,,61,29,,,,,,,,,5
Bonneville,2011-03-17,Sp,4,,35,21,,,,,,,,,5
Bonneville,2011-03-18,Sp,3,,28,11,,,,,,,,,5
Bonneville,2011-03-19,Sp,2,,39,11,,,,,,,,,5
Bonneville,2011-03-20,Sp,6,,36,16,,,,,,,,,5
Bonneville,2011-03-21,Sp,3,,30,13,,,,,,,,,5
Bonneville,2011-03-22,Sp,10,,41,10,,,,,,,,,5.6
Bonneville,2011-03-23,Sp,14,,42,14,,,,,,,,,5.6
Bonneville,2011-03-24,Sp,9,,32,17,,,,,,,,,6.1
Bonneville,2011-03-25,Sp,15,,33,15,,,,,,,,,6.1
Bonneville,2011-03-26,Sp,4,,43,21,,,,,,,,,5.6
Bonneville,2011-03-27,Sp,1,,58,22,,,,,,,,,5.6
Bonneville,2011-03-28,Sp,6,,78,44,,,,,,,,,6.3
Bonneville,2011-03-29,Sp,8,,92,28,,,,,,,,,6.4
Bonneville,2011-03-30,Sp,12,,137,68,,,,,,,,,6.7
Bonneville,2011-03-31,Sp,17,,77,30,,,,,,,,,7.1
Bonneville,2011-04-01,Sp,37,,78,37,,,,,,,,,7.2
Bonneville,2011-04-02,Sp,42,,73,30,,,,,,,,,7.4
Bonneville,2011-04-03,Sp,28,,105,49,,,,,,,,,7.5
Bonneville,2011-04-04,Sp,14,,73,47,,,,,,,,,7.6
Bonneville,2011-04-05,Sp,44,,70,17,,,,,,,,,7.8
Bonneville,2011-04-06,Sp,27,,54,20,,,,,,,,,7.9
Bonneville,2011-04-07,Sp,72,,62,23,,,,,,,,,7.9
Bonneville,2011-04-08,Sp,84,,47,16,,,,,,,,,8
Bonneville,2011-04-09,Sp,66,,27,8,,,,,,,,,8.1
Bonneville,2011-04-10,Sp,72,,29,17,,,,,,,,,8
Bonneville,2011-04-11,Sp,50,,22,11,,,,,,,,,7.9
Bonneville,2011-04-12,Sp,79,,44,25,,,,,,,,,8
Bonneville,2011-04-13,Sp,76,,44,21,,,,,,,,,8.1
Bonneville,2011-04-14,Sp,85,,40,14,,,,,,,,,8
Bonneville,2011-04-15,Sp,138,1,31,14,,,,,,,,,8
Bonneville,2011-04-16,Sp,119,1,31,8,,,,,,,,,8
Bonneville,2011-04-17,Sp,113,2,27,13,,,,,,,,,8
Bonneville,2011-04-18,Sp,253,1,42,10,,,,,,,,,8.2
Bonneville,2011-04-19,Sp,231,3,26,6,,,,,,,,,8.2
Bonneville,2011-04-20,Sp,217,2,46,15,,,,,,,,,8.3
Bonneville,2011-04-21,Sp,361,2,19,3,,,,,,,,,8.3
Bonneville,2011-04-22,Sp,496,,42,14,,,,,,,,,8.4
Bonneville,2011-04-23,Sp,410,6,30,7,,,,,,,,,8.6
Bonneville,2011-04-24,Sp,539,8,29,7,,,,,,,,,8.9
Bonneville,2011-04-25,Sp,1019,12,29,8,,,,,,,,,9
Bonneville,2011-04-26,Sp,4787,62,59,17,,,,,,,,,9.1
Bonneville,2011-04-27,Sp,4690,73,55,24,,,,,,,,,9.2
Bonneville,2011-04-28,Sp,5846,82,50,11,,,,,,,,,9.3
Bonneville,2011-04-29,Sp,5927,94,57,26,,,,,,,,,9.3
Bonneville,2011-04-30,Sp,8657,211,44,14,1,,,,,,,,9.5
Bonneville,2011-05-01,Sp,15766,373,72,19,1,,,,,,,,9.7
Bonneville,2011-05-02,Sp,8402,314,48,13,1,,,,,,,,9.9
Bonneville,2011-05-03,Sp,9832,460,49,10,,,,,,,,,9.9
Bonneville,2011-05-04,Sp,6478,492,43,6,,,,,,,,,10.1
Bonneville,2011-05-05,Sp,7515,587,26,1,,,,,,,,,10.2
Bonneville,2011-05-06,Sp,10131,1063,32,8,,,,,,,,,10.4
Bonneville,2011-05-07,Sp,7870,1323,58,13,,,,,,,,,10.5
Bonneville,2011-05-08,Sp,5839,1154,41,14,,,,,,,,,10.5
Bonneville,2011-05-09,Sp,9255,2393,40,11,1,,,,,,,,10.6
Bonneville,2011-05-10,Sp,9754,3930,47,10,2,,,,,,,,11
Bonneville,2011-05-11,Sp,4625,2418,50,7,,,,5,,,,,11.2
Bonneville,2011-05-12,Sp,6623,3462,35,10,,,,5,,,,,11.4
Bonneville,2011-05-13,Sp,4979,3659,45,17,,,,3,,,,,11.6
Bonneville,2011-05-14,Sp,4392,3079,52,10,,,,9,4,,,,11.8
Bonneville,2011-05-15,Sp,3099,2368,52,18,,,,17,2,,,,11.8
Bonneville,2011-05-16,Sp,2979,2802,45,12,,,,6,6,,,,11.8
Bonneville,2011-05-17,Sp,1788,1976,51,6,,,,9,17,,,,12
Bonneville,2011-05-18,Sp,1160,1917,44,15,1,,,49,11,,,,12.1
Bonneville,2011-05-19,Sp,912,1619,28,6,,,,117,68,,,,12.2
Bonneville,2011-05-20,Sp,1005,1792,50,11,,,,82,16,,,,12.3
Bonneville,2011-05-21,Sp,1048,1707,56,18,,,,158,8,,,,12.2
Bonneville,2011-05-22,Sp,582,1020,59,12,,,,294,11,,,,12.3
Bonneville,2011-05-23,Sp,603,1029,45,12,,,,14,36,,,,12.4
Bonneville,2011-05-24,Sp,657,1284,53,7,,,,90,18,,,,12.4
Bonneville,2011-05-25,Sp,607,937,42,10,,,,138,19,,,,12.3
Bonneville,2011-05-26,Sp,443,502,71,18,,,,48,14,,,,11.9
Bonneville,2011-05-27,Sp,800,1174,67,16,,,,18,12,,,,11.9
Bonneville,2011-05-28,Sp,1065,1385,61,14,,,,15,12,,,,12.1
Bonneville,2011-05-29,Sp,914,1148,67,22,,,,342,4,,,,12.3
Bonneville,2011-05-30,Sp,1241,1233,66,13,1,,,146,7,,,,12.5
Bonneville,2011-05-31,Sp,2030,1785,63,15,1,,,292,16,,,,12.7
