Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2013-03-01,,2,,88,24,,,,,,,,,5
Bonneville,2013-03-02,,1,,30,5,,,,,,,,,5
Bonneville,2013-03-03,,7,,23,9,,,,,,,,,5
Bonneville,2013-03-04,,-1,,37,11,,,,,,,,,5.6
Bonneville,2013-03-05,,1,,17,5,,,,,,,,,5.6
Bonneville,2013-03-06,,2,,10,2,,,,,,,,,5.6
Bonneville,2013-03-07,,1,,13,3,,,,,,,,,5.6
Bonneville,2013-03-08,,1,,12,-1,,,,,,,,,5
Bonneville,2013-03-09,,3,1,10,2,,,,,,,,,5.6
Bonneville,2013-03-10,,6,,16,6,,,,,,,,,5.6
Bonneville,2013-03-11,,2,,22,4,,,,,,,,,5.6
Bonneville,2013-03-12,,6,,34,8,,,,,,,,,5.6
Bonneville,2013-03-13,,3,,38,12,,,,,,,,,5.6
Bonneville,2013-03-14,,6,,40,14,,,,,,,,,5.6
Bonneville,2013-03-15,Sp,22,,79,18,,,,,,,,,6.1
Bonneville,2013-03-16,Sp,5,,24,4,,,,,,,,,7.2
Bonneville,2013-03-17,Sp,7,,47,14,,,,,,,,,7.2
Bonneville,2013-03-18,Sp,7,,29,10,,,,,,,,,7.2
Bonneville,2013-03-19,Sp,8,,29,7,,,,,,,,,6.7
Bonneville,2013-03-20,Sp,4,,23,10,,,,,,,,,6.7
Bonneville,2013-03-21,Sp,12,,111,30,,,,,,,,,6.5
Bonneville,2013-03-22,Sp,12,,53,25,,,,,,,,,6.5
Bonneville,2013-03-23,Sp,8,1,35,12,,,,,,,,,6.6
Bonneville,2013-03-24,Sp,6,,36,9,,,,,,,,,6.6
Bonneville,2013-03-25,Sp,5,,19,6,,,,,,,,,6.6
Bonneville,2013-03-26,Sp,16,,40,10,,,,,,,,,6.8
Bonneville,2013-03-27,Sp,10,,39,9,,,,,,,,,7
Bonneville,2013-03-28,Sp,25,,53,15,,,,,,,,,7.2
Bonneville,2013-03-29,Sp,22,,72,26,,,,,,,,,7.5
Bonneville,2013-03-30,Sp,26,,79,25,,,,,,,,,7.8
Bonneville,2013-03-31,Sp,45,,76,23,,,,,,,,,8.1
Bonneville,2013-04-01,Sp,45,1,94,31,,,,,,,,,8.3
Bonneville,2013-04-02,Sp,71,2,81,30,,,,,,,,,8.6
Bonneville,2013-04-03,Sp,91,1,59,29,,,,,,,,,8.9
Bonneville,2013-04-04,Sp,70,1,39,13,,,,,,,,,8.9
Bonneville,2013-04-05,Sp,55,,73,25,,,,,,,,,8.8
Bonneville,2013-04-06,Sp,40,,37,8,,,,,,,,,9
Bonneville,2013-04-07,Sp,61,,44,23,,,,,,,,,9
Bonneville,2013-04-08,Sp,145,,54,24,,,,,,,,,9.1
Bonneville,2013-04-09,Sp,177,1,52,22,,,,,,,,,9.4
Bonneville,2013-04-10,Sp,153,1,45,11,,,,,,,,,9.4
Bonneville,2013-04-11,Sp,120,2,39,15,,,,,,,,,9.5
Bonneville,2013-04-12,Sp,173,3,27,9,,,,,,,,,9.6
Bonneville,2013-04-13,Sp,105,,22,13,,,,,,,,,9.5
Bonneville,2013-04-14,Sp,80,1,21,9,,,,,,,,,9.4
Bonneville,2013-04-15,Sp,107,5,16,7,,,,,,,,,9.5
Bonneville,2013-04-16,Sp,124,1,13,2,,,,,,,,,9.4
Bonneville,2013-04-17,Sp,91,4,11,1,,,,,,,,,9.3
Bonneville,2013-04-18,Sp,262,8,9,-3,,,,,,,,,9.3
Bonneville,2013-04-19,Sp,355,9,9,5,,,,,,,,,9.3
Bonneville,2013-04-20,Sp,509,9,20,8,,,,,,,,,9.4
Bonneville,2013-04-21,Sp,454,12,12,-1,,,,,,,,,9.5
Bonneville,2013-04-22,Sp,836,29,16,6,,,,,,,,,9.5
Bonneville,2013-04-23,Sp,1027,36,16,1,,,,,,,,,9.7
Bonneville,2013-04-24,Sp,2227,66,21,5,,,,,,,,,9.8
Bonneville,2013-04-25,Sp,2541,61,24,7,,,,,,,,,10
Bonneville,2013-04-26,Sp,5346,297,26,6,,,,,,,,,10.3
Bonneville,2013-04-27,Sp,4551,381,22,8,,,,,,,,,10.7
Bonneville,2013-04-28,Sp,4181,352,30,12,,,,,,,,,10.8
Bonneville,2013-04-29,Sp,2461,255,13,1,,,,,,,,,10.8
Bonneville,2013-04-30,Sp,2350,363,19,4,,,,,,,,,10.7
Bonneville,2013-05-01,Sp,2123,410,20,,,,,,,,,,10.8
Bonneville,2013-05-02,Sp,4663,1134,17,4,,,,,,,,,11
Bonneville,2013-05-03,Sp,7311,2387,28,6,,,,,,,,,11.3
Bonneville,2013-05-04,Sp,1834,519,14,-1,,,,6,,,,,11.6
Bonneville,2013-05-05,Sp,4202,2165,22,,,,,1,,,,,11.9
Bonneville,2013-05-06,Sp,3915,2768,22,5,,,,4,,,,,12.2
Bonneville,2013-05-07,Sp,2901,2633,18,,,,,28,,,,,12.4
Bonneville,2013-05-08,Sp,2104,1928,14,,,,,170,,,,,12.8
Bonneville,2013-05-09,Sp,2226,2185,25,4,,,,305,2,,,,13
Bonneville,2013-05-10,Sp,1417,1666,7,-1,,,,1569,8,,,,13.3
Bonneville,2013-05-11,Sp,1582,1353,13,-1,,,,2332,98,,,,13.6
Bonneville,2013-05-12,Sp,957,916,21,3,,,,3446,79,,,,13.9
Bonneville,2013-05-13,Sp,1018,1206,16,4,,,,3105,62,,,,14.1
Bonneville,2013-05-14,Sp,1367,1364,41,2,,,,3630,20,,,,14
Bonneville,2013-05-15,Sp,1308,1199,6,-3,,,,3156,72,,,,13.9
Bonneville,2013-05-16,Sp,999,984,17,,,,,8086,54,,,,14
Bonneville,2013-05-17,Sp,1280,996,21,,,,,5623,33,,,,14.1
Bonneville,2013-05-18,Sp,1270,677,31,4,,,,3585,51,,,,13.9
Bonneville,2013-05-19,Sp,1102,645,17,-2,,,,3630,95,,,,13.9
Bonneville,2013-05-20,Sp,1105,690,22,4,,,,5019,84,,,,13.9
Bonneville,2013-05-21,Sp,955,552,37,1,,,,9950,78,,,,13.9
Bonneville,2013-05-22,Sp,908,493,23,2,,,,12727,35,,,,13.6
Bonneville,2013-05-23,Sp,782,405,30,,,,,11598,43,,,,13.3
Bonneville,2013-05-24,Sp,1013,480,39,8,,,,11722,58,,,,13.5
Bonneville,2013-05-25,Sp,822,423,25,4,1,,,20957,80,,,,13.7
Bonneville,2013-05-26,Sp,869,342,31,11,4,,,69263,87,,,,13.7
Bonneville,2013-05-27,Sp,915,327,24,8,5,,,52553,52,,,,13.6
Bonneville,2013-05-28,Sp,807,225,28,6,11,,,38713,24,,,,13.4
Bonneville,2013-05-29,Sp,787,253,36,12,13,,,36634,28,,,,13.4
Bonneville,2013-05-30,Sp,837,309,38,10,9,,,30651,60,,,,13.6
Bonneville,2013-05-31,Sp,872,283,61,8,17,,,42930,91,,,,13.9
