Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2009-03-01,,,,13,3,,,,,,,,,3.9
Bonneville,2009-03-02,,1,,9,3,,,,,,,,,3.9
Bonneville,2009-03-03,,,,20,10,,,,,,,,,3.9
Bonneville,2009-03-04,,,,8,3,,,,,,,,,4.4
Bonneville,2009-03-05,,,,9,5,,,,,,,,,4.4
Bonneville,2009-03-06,,3,,14,6,,,,,,,,,4.4
Bonneville,2009-03-07,,,,11,1,,,,,,,,,
Bonneville,2009-03-08,,1,,-1,-2,,,,,,,,,3.9
Bonneville,2009-03-09,,12,,8,5,,,,,,,,,4.4
Bonneville,2009-03-10,,,,3,3,,,,,,,,,4.4
Bonneville,2009-03-11,,,,4,-1,,,,,,,,,4.4
Bonneville,2009-03-12,,2,,7,1,,,,,,,,,4.4
Bonneville,2009-03-13,,4,,3,3,,,,,,,,,4.4
Bonneville,2009-03-14,,,,3,2,,,,,,,,,4.4
Bonneville,2009-03-15,Sp,2,,17,-1,,,,,,,,,4.4
Bonneville,2009-03-16,Sp,3,,16,8,,,,,,,,,4.4
Bonneville,2009-03-17,Sp,2,,12,3,,,,,,,,,4.4
Bonneville,2009-03-18,Sp,3,,11,-3,,,,,,,,,5
Bonneville,2009-03-19,Sp,14,,24,13,,,,,,,,,5.1
Bonneville,2009-03-20,Sp,3,,21,9,,,,,,,,,5.2
Bonneville,2009-03-21,Sp,10,,47,16,,,,,,,,,5.4
Bonneville,2009-03-22,Sp,7,,43,13,,,,,,,,,5.5
Bonneville,2009-03-23,Sp,9,,32,10,,,,,,,,,5.6
Bonneville,2009-03-24,Sp,10,,28,13,,,,,,,,,5.7
Bonneville,2009-03-25,Sp,9,,30,11,,,,,,,,,5.8
Bonneville,2009-03-26,Sp,12,,37,13,,,,,,,,,5.9
Bonneville,2009-03-27,Sp,10,,53,14,,,,,,,,,6.1
Bonneville,2009-03-28,Sp,6,,31,7,,,,,,,,,6.2
Bonneville,2009-03-29,Sp,9,,39,10,,,,,,,,,6.3
Bonneville,2009-03-30,Sp,9,,74,17,,,,,,,,,6.4
Bonneville,2009-03-31,Sp,23,,51,24,,,,,,,,,6.4
Bonneville,2009-04-01,Sp,10,,12,4,,,,,,,,,6.4
Bonneville,2009-04-02,Sp,12,,31,9,,,,,,,,,6.5
Bonneville,2009-04-03,Sp,47,,52,19,,,,,,,,,6.6
Bonneville,2009-04-04,Sp,42,,73,28,,,,,,,,,6.8
Bonneville,2009-04-05,Sp,65,,70,23,,,,,,,,,7
Bonneville,2009-04-06,Sp,100,1,62,22,,,,,,,,,7.2
Bonneville,2009-04-07,Sp,79,,71,24,,,,,,,,,7.4
Bonneville,2009-04-08,Sp,88,1,53,21,,,,,,,,,7.6
Bonneville,2009-04-09,Sp,130,1,75,28,,,,,,,,,7.8
Bonneville,2009-04-10,Sp,179,,77,38,,,,,,,,,7.8
Bonneville,2009-04-11,Sp,97,,36,10,,,,,,,,,7.8
Bonneville,2009-04-12,Sp,101,,53,23,,,,,,,,,8
Bonneville,2009-04-13,Sp,74,2,48,27,,,,,,,,,8.1
Bonneville,2009-04-14,Sp,89,,77,29,,,,,,,,,8
Bonneville,2009-04-15,Sp,55,,61,21,,,,,,,,,8.1
Bonneville,2009-04-16,Sp,112,2,54,14,,,,,,,,,8.6
Bonneville,2009-04-17,Sp,152,6,41,12,,,,,,,,,9.1
Bonneville,2009-04-18,Sp,258,5,43,16,,,,,,,,,9.3
Bonneville,2009-04-19,Sp,742,4,59,22,,,,,,,,,9.5
Bonneville,2009-04-20,Sp,616,14,55,12,,,,,,,,,9.7
Bonneville,2009-04-21,Sp,1164,27,84,30,,,,,,,,,9.9
Bonneville,2009-04-22,Sp,1990,55,44,11,,,,,,,,,10
Bonneville,2009-04-23,Sp,2142,56,64,12,,,,,,,,,9.9
Bonneville,2009-04-24,Sp,1509,72,45,14,,,,,,,,,9.8
Bonneville,2009-04-25,Sp,1604,61,40,8,,,,,,,,,9.9
Bonneville,2009-04-26,Sp,1765,132,43,11,,,,,,,,,9.9
Bonneville,2009-04-27,Sp,2095,187,43,14,,,,,,,,,9.9
Bonneville,2009-04-28,Sp,1483,285,26,7,,,,,,,,,10
Bonneville,2009-04-29,Sp,2904,406,31,11,,,,,,,,,10.1
Bonneville,2009-04-30,Sp,2151,354,24,1,,,,,,,,,10.1
Bonneville,2009-05-01,Sp,3028,581,47,11,,,,,,,,,10.1
Bonneville,2009-05-02,Sp,7036,993,20,7,,,,,,,,,10.3
Bonneville,2009-05-03,Sp,6317,1296,33,7,,,,,,,,,10.3
Bonneville,2009-05-04,Sp,3856,818,21,1,,,,,,,,,10.3
Bonneville,2009-05-05,Sp,4827,1616,41,13,,,,,,,,,10.3
Bonneville,2009-05-06,Sp,4493,2274,64,13,,,,,,,,,10.3
