Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2017-03-01,,,,22,7,,,,,,,,,3.8
Bonneville,2017-03-02,,,,20,6,,,,,,,,,3.8
Bonneville,2017-03-03,,,,29,13,,,,,,,,,4
Bonneville,2017-03-04,,,,39,17,,,,,,,,,4.1
Bonneville,2017-03-05,,,,27,11,,,,,,,,,4
Bonneville,2017-03-06,,,,26,11,,,,,,,,,4.1
Bonneville,2017-03-07,,,,18,11,,,,,,,,,4.2
Bonneville,2017-03-08,,1,,27,9,,,,,,,,,4.3
Bonneville,2017-03-09,,,,43,20,,,,,,,,,4.4
Bonneville,2017-03-10,,2,,133,52,,,,,,,,,4.8
Bonneville,2017-03-11,,1,,69,28,,,,,,,,,4.9
Bonneville,2017-03-12,,2,,59,18,,,,,,,,,5
Bonneville,2017-03-13,,1,,37,20,,,,,,,,,5.1
Bonneville,2017-03-14,,,,57,18,,,,,,,,,5.2
Bonneville,2017-03-15,Sp,2,,55,24,,,,,,,,,5.3
Bonneville,2017-03-16,Sp,,,36,17,,,,,,,,,5.4
Bonneville,2017-03-17,Sp,,,36,13,,,,,,,,,5.5
Bonneville,2017-03-18,Sp,2,,67,16,,,,,,,,,5.8
Bonneville,2017-03-19,Sp,,,47,10,,,,,,,,,6.1
Bonneville,2017-03-20,Sp,,,24,5,,,,,,,,,6.2
Bonneville,2017-03-21,Sp,,,18,-2,,,,,,,,,6.4
Bonneville,2017-03-22,Sp,,,28,,,,,,,,,,6.6
Bonneville,2017-03-23,Sp,,,54,4,,,,,,,,,6.8
Bonneville,2017-03-24,Sp,,,40,6,,,,,,,,,6.9
Bonneville,2017-03-25,Sp,,,48,3,,,,,,,,,6.8
Bonneville,2017-03-26,Sp,,,32,13,,,,,,,,,6.6
Bonneville,2017-03-27,Sp,2,,53,10,,,,,,,,,6.7
Bonneville,2017-03-28,Sp,,,25,2,,,,,,,,,6.8
Bonneville,2017-03-29,Sp,,,56,14,,,,,,,,,6.8
Bonneville,2017-03-30,Sp,,,35,5,,,,,,,,,6.9
Bonneville,2017-03-31,Sp,2,,67,19,,,,,,,,,7.2
Bonneville,2017-04-01,Sp,1,,52,16,,,,,,,,,7.3
Bonneville,2017-04-02,Sp,3,,38,13,,,,,,,,,7.4
Bonneville,2017-04-03,Sp,2,,46,25,,,,,,,,,7.5
Bonneville,2017-04-04,Sp,2,,56,26,,,,,,,,,7.5
Bonneville,2017-04-05,Sp,14,,31,18,,,,,,,,,7.7
Bonneville,2017-04-06,Sp,12,,43,22,,,,,,,,,8
Bonneville,2017-04-07,Sp,32,,40,10,,,,,,,,,8.3
Bonneville,2017-04-08,Sp,57,,38,20,,,,,,,,,8.4
Bonneville,2017-04-09,Sp,62,,22,14,,,,,,,,,8.4
Bonneville,2017-04-10,Sp,16,,29,11,,,,,,,,,8.6
Bonneville,2017-04-11,Sp,38,,28,4,,,,,,,,,8.5
Bonneville,2017-04-12,Sp,50,,27,17,,,,,,,,,8.4
Bonneville,2017-04-13,Sp,47,,24,14,,,,,,,,,8.4
Bonneville,2017-04-14,Sp,42,,22,7,,,,,,,,,8.5
Bonneville,2017-04-15,Sp,38,,34,14,,,,,,,,,8.7
Bonneville,2017-04-16,Sp,71,,11,9,,,,,,,,,8.8
Bonneville,2017-04-17,Sp,78,,26,12,,,,,,,,,8.9
Bonneville,2017-04-18,Sp,112,,20,6,,,,,,,,,9.2
Bonneville,2017-04-19,Sp,103,,20,5,,,,,,,,,9.2
Bonneville,2017-04-20,Sp,131,,14,6,,,,,,,,,9.3
Bonneville,2017-04-21,Sp,170,,25,10,,,,,,,,,9.7
Bonneville,2017-04-22,Sp,175,1,22,2,,,,,,,,,9.7
Bonneville,2017-04-23,Sp,245,2,20,8,,,,,,,,,9.9
Bonneville,2017-04-24,Sp,215,1,18,6,,,,,,,,,9.9
