Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2018-03-01,,,,11,8,,,,,,,,,
Bonneville,2018-03-02,,,,25,8,,,,,,,,,
Bonneville,2018-03-03,,,,16,3,,,,,,,,,
Bonneville,2018-03-04,,,,21,7,,,,,,,,,
Bonneville,2018-03-05,,,,10,6,,,,,,,,,3.9
Bonneville,2018-03-06,,,,16,3,,,,,,,,,4.2
Bonneville,2018-03-07,,,,11,2,,,,,,,,,4.1
Bonneville,2018-03-08,,,,7,4,,,,,,,,,4.2
Bonneville,2018-03-09,,1,,25,11,,,,,,,,,4.5
Bonneville,2018-03-10,,,,29,11,,,,,,,,,5.1
Bonneville,2018-03-11,,,,38,16,,,,,,,,,4.9
Bonneville,2018-03-12,,1,,39,11,,,,,,,,,5.2
Bonneville,2018-03-13,,,,34,12,,,,,,,,,5.2
Bonneville,2018-03-14,,,,49,15,,,,,,,,,5.5
Bonneville,2018-03-15,Sp,,,39,13,,,,,,,,,5.7
Bonneville,2018-03-16,Sp,1,,53,18,,,,,,,,,5.9
Bonneville,2018-03-17,Sp,,,29,15,,,,,,,,,5.9
Bonneville,2018-03-18,Sp,2,,82,33,,,,,,,,,6.3
Bonneville,2018-03-19,Sp,1,,87,29,,,,,,,,,6.4
Bonneville,2018-03-20,Sp,,,25,13,,,,,,,,,6.6
Bonneville,2018-03-21,Sp,1,,21,11,,,,,,,,,6.7
Bonneville,2018-03-22,Sp,1,,17,6,,,,,,,,,6.7
Bonneville,2018-03-23,Sp,1,,11,8,,,,,,,,,6.5
Bonneville,2018-03-24,Sp,4,,29,8,,,,,,,,,6.5
Bonneville,2018-03-25,Sp,,,21,10,,,,,,,,,6.7
Bonneville,2018-03-26,Sp,1,,21,5,,,,,,,,,6.9
Bonneville,2018-03-27,Sp,,,34,12,,,,,,,,,7.1
Bonneville,2018-03-28,Sp,1,,76,26,,,,,,,,,7.2
Bonneville,2018-03-29,Sp,1,,38,20,,,,,,,,,7.4
Bonneville,2018-03-30,Sp,1,,47,26,,,,,,,,,7.4
Bonneville,2018-03-31,Sp,3,1,68,28,,,,,,,,,7.6
Bonneville,2018-04-01,Sp,4,1,40,19,,,,,,,,,7.4
Bonneville,2018-04-02,Sp,3,,43,21,,,,,,,,,7.4
Bonneville,2018-04-03,Sp,6,,32,15,,,,,,,,,7.5
Bonneville,2018-04-04,Sp,3,,24,11,,,,,,,,,7.7
Bonneville,2018-04-05,Sp,6,,49,20,,,,,,,,,7.7
Bonneville,2018-04-06,Sp,27,,106,47,,,,,,,,,8
Bonneville,2018-04-07,Sp,18,1,74,43,,,,,,,,,8.1
Bonneville,2018-04-08,Sp,6,1,41,20,,,,,,,,,8
Bonneville,2018-04-09,Sp,4,,28,9,,,,,,,,,8.1
Bonneville,2018-04-10,Sp,2,,18,10,,,,,,,,,8
Bonneville,2018-04-11,Sp,24,,26,12,,,,,,,,,8.1
Bonneville,2018-04-12,Sp,14,,24,10,,,,,,,,,8.1
Bonneville,2018-04-13,Sp,20,,25,18,,,,,,,,,8.2
Bonneville,2018-04-14,Sp,27,,17,11,,,,,,,,,8.4
Bonneville,2018-04-15,Sp,37,,28,12,,,,,,,,,8.6
Bonneville,2018-04-16,Sp,27,,18,8,,,,,,,,,8.6
Bonneville,2018-04-17,Sp,39,,19,18,,,,,,,,,8.8
Bonneville,2018-04-18,Sp,27,,17,7,,,,,,,,,8.8
Bonneville,2018-04-19,Sp,51,1,23,14,,,,,,,,,9.2
Bonneville,2018-04-20,Sp,38,,10,4,,,,,,,,,9.4
Bonneville,2018-04-21,Sp,60,,13,4,,,,,,,,,9.7
Bonneville,2018-04-22,Sp,86,2,27,8,,,,,,,,,9.8
Bonneville,2018-04-23,Sp,97,1,16,4,,,,,,,,,9.9
Bonneville,2018-04-24,Sp,167,5,23,11,,,,,,,,,10.2
Bonneville,2018-04-25,Sp,181,6,27,6,,,,,,,,,10.5
Bonneville,2018-04-26,Sp,283,6,23,6,,,,,,,,,10.8
Bonneville,2018-04-27,Sp,804,11,29,13,,,,,,,,,10.9
Bonneville,2018-04-28,Sp,1357,18,43,7,,,,,,,,,11
Bonneville,2018-04-29,Sp,1812,16,24,10,,,,,,,,,11.1
Bonneville,2018-04-30,Sp,1002,6,25,7,,,,,,,,,11.2
Bonneville,2018-05-01,Sp,633,9,33,11,,,,,,,,,11.5
Bonneville,2018-05-02,Sp,978,15,32,14,,,,,,,,,11.8
Bonneville,2018-05-03,Sp,2705,68,36,15,,,,,,,,,12.1
Bonneville,2018-05-04,Sp,4421,111,27,7,,,,,,,,,12.2
Bonneville,2018-05-05,Sp,5392,153,26,10,,,,,,,,,12.4
Bonneville,2018-05-06,Sp,5109,163,36,7,,,,1,,,,,12.8
Bonneville,2018-05-07,Sp,7287,344,50,13,,,,1,,,,,12.9
Bonneville,2018-05-08,Sp,5233,315,47,19,,,,12,7,,,,12.9
Bonneville,2018-05-09,Sp,2649,209,37,7,,,,15,10,,,,12.7
Bonneville,2018-05-10,Sp,1879,199,41,16,,,,18,13,,,,12.6
Bonneville,2018-05-11,Sp,1578,149,61,22,,,,14,35,,,,12.7
Bonneville,2018-05-12,Sp,852,132,32,10,,,,20,22,,,,12.8
Bonneville,2018-05-13,Sp,1274,155,36,14,,,,32,30,,,,12.8
Bonneville,2018-05-14,Sp,1840,332,32,9,,,,37,29,,,,13.1
Bonneville,2018-05-15,Sp,2962,348,36,14,,,,360,121,,,,13.6
Bonneville,2018-05-16,Sp,4572,468,31,10,,,,1023,108,,,,13.4
Bonneville,2018-05-17,Sp,2736,427,33,4,,,,647,271,,,,13.6
Bonneville,2018-05-18,Sp,1487,282,33,10,,,,654,133,,,,13.6
Bonneville,2018-05-19,Sp,1514,233,27,7,,,,1707,80,,,,13.7
Bonneville,2018-05-20,Sp,3124,367,27,11,,,,2281,62,,,,13.8
Bonneville,2018-05-21,Sp,3760,364,27,16,,,,1254,46,,,,13.9
Bonneville,2018-05-22,Sp,2616,304,33,9,,,,2239,75,,,,14.1
Bonneville,2018-05-23,Sp,4009,351,32,12,1,,,9563,54,,,,14.4
Bonneville,2018-05-24,Sp,2738,237,30,9,,,,4493,125,,,,14.8
Bonneville,2018-05-25,Sp,2237,157,32,5,2,,,9272,315,,,,14.6
Bonneville,2018-05-26,Sp,2017,118,34,16,3,,,6189,174,,,,14.5
Bonneville,2018-05-27,Sp,1134,79,25,11,,,,5738,119,,,,14.8
Bonneville,2018-05-28,Sp,1297,77,36,15,2,,,7329,224,,,,14.9
Bonneville,2018-05-29,Sp,1411,66,50,22,12,,,17838,423,,,,14.8
Bonneville,2018-05-30,Sp,1106,69,52,18,10,,,10744,260,,,,14.8
Bonneville,2018-05-31,Sp,1090,79,45,17,10,,,13479,208,,,,15
